,tweets
386,'Even fools seem smart when they are quiet - Proverb 17:28'
387,'The human body has 7 trillion nerves and some people manage to get on every single fucking one of them'
388,"'You must be an adverb, because you sure do modify me!'"
389,'Lose yourself in nature and find peace'
390,""" @TheseDamnQuote: Dear whoever is reading this, you are beautiful and perfect in every way. Smile, because you're too amazing to be so sa"
391,"""There's more to life than riches"""
392,' @iQuoteComedy: youre as annoying as an app that turns sideways when you lie down'
393,' @TheFunnySayings: There are five types of fear. 1. terror 2: panic 3. 14 missed calls from mom 4: username or password is incorrect 5. w
394,"' @StMotherTheresa: \\""If you are humble nothing will touch you, neither praise nor disgrace, because you know what you are.\\""'"
395,"'Dont feel sad over someone who\. gave up on you, feel sorry for them\. because they gave up on someone\. who would have never given up on\. them'"
396,"""Ignore the negative things you can't\. change. Change the negative things\. you can't ignore."""
397,"' @TheFactsBook: Thantophobia, the fear of losing someone you love.'"
398,' @ZodiacFacts: A Virgos Biggest Insecurities: Lack in self-esteem and being useless.'
399,' @TheFactsBook: Avoy! - An expression of fear; surprise.'
400,""" @Emyzz14: sometimes couples need to reassure their partner what y'all want."""
401,"'Keep your friends close, but the people who have a chance at becoming famous closer'"
402,""" @CommonCock: Life is like a penis, very simple, relaxed and just hanging freely. It's women who make it hard\x85"""
403,' @VirgoNation: Just one stupid comment can piss a Virgo off.'
404,' RIPPAULWALKER'
405,""" @RealPaulWalker: It's with a heavy heart that we must confirm Paul Walker passed away today in a tragic car accident...MORE:"
406,' @KaBs_Cebekhulu: Be Strong Enough To W From Things or People Th C Put Smile On Your F No m how Close You To t
407,""" @BossHustling: I may not be there yet, but I'm closer than I was yesterday."""
408,' @TheFacts1O1: Forgiving others can help you to move on from the past and release yourself from negative emotions and thoughts.'
409,""" @UnusuaIFactPage: When a person cries and the first drop of tears comes from the right eye; It's happiness. If it's from the left, It's"
410,'@kabs_cebekhulu sick? Have yew been to a doc?'
411,"'The less you know, the more you believe'"
412,"'Dear God, I wanna take a minute, not to ask for anything from you. But simply to say thank you, for all I have.'"
413,'All that we are is a result of what we have thought'
414,"""@KaBs_Cebekhulu thanx... I'm good &amp; u?"""
415,'Your desire for success must always be greater than any obstacle that stands in your way'
416,'Learn to forgive and let go'
417,'Quote ...people find it far easier to forgive others for being wrong than being right. - - J. K. Rowling'
418,'@kabs_cebekhulu ff baQ'
419,"'U may shoot me with ur words u\. may cut me wit ur eyes u may kill me wit ur hatefulness\. but still like air, I\\""ll riSe'"
420,"'Note to self: \\""dont worry, if it\'s suppose to happen, it will.\\""'"
421,'Every saint has a past. Every sinner has a future.'
422,"""I get mad, I get worried, I get curious. That's only because I care!"""
423,'when you give thanks for everything in your life- you become a magnet for blessing! - Paula white'
424,'Nobody who ever gave his best regretted it. - George Halas'
425,"""You'll be surprised to know how far you can go from the point where you thought it was the end."""
426,"'I DONT SLOW DOWN, I DONT GIVE UP......I KEEP MOVING FORWARD AND WALK IN THE GRACE AND LOVE OF JESUS."
427,"' @Funny_Truth: I hate to see you go, but I love watching you leave.'"
428,' @BestofVirgo: Virgo needs to learn how to relax and let life happen spontaneously.'
429,' @Freebetnow: BET \xa310 GET A EXTRA \xa310 with StanJames - Click Here Sign Up - twitter92 FreeBet'
430,' @MasiveFyahSound: TEACHER JUST ASK THIS NIGGA IF HE LIL BRO CUT HE HAIR LOL'
431,"' @MrOsuofia Half naked girls are hot,while well dressed girls are beautiful...Hell is hot,while (cont)"
432,"'Continuous effort! not strength or intelligence, is the key to unlocking your potential. - Winston Churchill'"
433,' @LargerThanWords: Life is happy enough when you see every single thing optimistically.'
434,' @Funny_Truth: Can I have a picture of you so I can show Santa what I want for Christmas?'
435,' @MelyssaMoniz: I believe the only way we will heal ourselves and others is to make the choice to relate.'
436,' @rafu007: It is the Spiritual Teacher who maintains the Spiritual System in the religion.'
437,""" @fastone_36: - It's really nice when you can just think about someone, and smile..."""
438,' @CuteLoveMsgs: Reading old messages and realizing how much you miss that person.'
439,"""You don't change people's mind by the words you speak, but you inspire change in their hearts by the life you live."""
440,""" @ItsLifeFact: Don't say what you don't mean."""
441,"' @tete_namaste: \\""What is in our deal, also can not do it.\\"" Aristoteles'"
442,' @fake9JAnews: Patience Jonathan To Start Her Own Reality Tv Series THE REAL HOUSEWIVES OF ASO ROCK
443,"'\\""If you don\'t have passion for something,y you shouldn\'t be doing it in the first place\\"" - Lee Alexander McQueen'"
444,"' @NaijaTuneZ: Turnable,Radio,Club &amp; Mr ShutDownPartyDj,Multiple Award Winner,Rainbow 94.1FM Dj @Djchascolee 4Bookings:PIN 2959635A Event"
445,' oneofmyfavouritemovieIs Vampire dairies...'
446,"' @LargerThanWords: \\""What do you do when you can\'t control your anger?\\""\. \. \\""Let your anger out, but then let it go.\\""'"
447,'Knowledge without wisdom is like water in the sand'
448,"' @NotCommonFactz: If you want to feel good about yourself, you first have to give yourself something to feel good about. Actions define s"
449,' @Naija102FM: Np-Oshe by @Praiz8 t @AwiloLongomba MorningRuns w @GodwinAruwayo @sabinaNP @ushbebecomedian'
450,'@Emyzz14 ff back ;-)'
451,' @Funny_Truth: Life is too short..
452,' @positivevibe101: surround yourself with people who bring out the best in you'
453,"' @LargerThanWords: Ever tried, ever failed. Never mind. Try again. Fail better.'"
454,"""@hicez_cgp k, what's for this sunny morning?"""
455,"' @TheLoverQuotes: @ChaskaBorek You can turn off the sun, but I`m still gonna shine... quotes lovequotes'"
456,'@hicez_cgp on a low key bro... u?'
457,'@hicez_cgp yeah...'
458,'Im like an iphone. I lose energy without doing anything'
459,"'If u dont appreciate me, somebody els will. As simple as that!'"
460,"""If you're struggling, you're progressing."""
461,'Its never too late to do whats right'
462,' Angel_of_my_life'
463,"""EVEN the nicest person's patience has a limit"""
464,""" @HammerOfFacts: Grades don't always measure intelligence and age doesn't always define maturity."""
465,'only God can judge us... ;-)'
466,"' @Factsionary: There\'s a website called \\"" WhatIsThatSong \\"" that will find any song that you hear on TV but don\'t know what they name of i"
467,'@Praiz8 thumbs up for oshe.... Great!'
468,"'If your love was all i had in this life, well that would be enough - JUSTIN TIMBERLAKE'"
469,"'@hicez_cgp yeah, There is a light at the end of every tunnel'"
470,"'Look at the stars, look how they shine for you and everything you do - COLDPLAY'"
471,'I am bigger_than_life !'
472,' @LifeCheates: Lemon juice with a pinch of salt (warm) every morning lowers cholesterol levels and brings down your weight.'
473,"' @LifeCheates: Daydreaming is good for your brain -- It makes you more creative but in some cases, it can cause depression.'"
474,""" @TheFunnySayings: It doesn't matter what people say, always be the person you are."""
475,"' @Funny_Truth: Just like my blog, you are quality.'"
476,""" @ComedyPosts: The only math I ever want to do consists of counting my money when I'm rich."""
477,"' @LargerThanWords: To get even with an enemy you must do the one thing they hate most, Be happy!'"
478,"""There's a drop of\. greatness in every\. wiseman..."""
479,"""When you finally realize\. you didn't matter at all to\. someone, you begin to\. wonder if you matter to\. anyone."""
480,"'Never make someone a priority, when all you are to them is an option.'"
481,'Congrats Nigeria! Thumbs up'
482,'Individuality can not make us tall'
483,' @Inspire_Us: A person often meets his destiny on the road he took to avoid it. - Jean de La Fontaine'
484,' @TheFactsBook: The average amount of time a woman can keep a secret is just 47 hours and 26 minutes.'
485,""" @TheseDamnQuote: Don't forget to smile :)"""
486,"'Think positive thoughts, say\. positive words.'"
487,"' @LargerThanWords: You can do anything, but not everything.'"
488,""" @KillaQuotes: Life aint always what it seems to be, and words can't express what you mean to me. - Diddy"""
489,' @KillaQuotes: You know the streets made me and I don give a damn if you hate me. - Lil Wayne'
490,' @KillaQuotes: Reality is wrong. Dreams are for real. - Tupac'
491,' @Funny_Truth: You like a rare candy. You take me to a whole new level.'
492,' @GirlfriendNotes: Keep it real with the people around you no matter how fake they are.'
493,""" @Leeleeyen: Don't look back unless you plan to go that way.\. Henry D. Thoreau"""
494,"'There are some things children cannot know, because once they learn\. them they are no longer children.'"
495,' @HealthBeWealth: Your mind will quit 100 times before your body ever does. Feel the pain and do it anyway.'
496,' @TheFactsBook: Smiling is contagious.'
497,"'Police Quote: \\""In God we trust, all others are suspects.\\""'"
498,"'Age is a question of mind over matter. If you\. don mind, it doesn matter.'"
499,"' @CuteLoveMsgs: You talk to me with words, and I look at you with feelings.'"
500,' @TheFunnySayings: Do you ever wish you had a second chance to meet someone again for the first time?'
501,"'Happiness is not defined in things, status, words or even success, but it feeling you want to share with the world.'"
502,' @TheFunnySayings: Sarcasm is the best answer to a stupid question.'
503,""" @damnitstrue: Life's too short.. too short to live it as a bad person."""
504,' @KillaQuotes: Bitches on my stick but my name ain Harry Potter. - Lil Wayne'
505,"' @KillaQuotes: The places that Ive been, the things that I have seen - what you have as nightmares, are what I have as dreams. - DMX'"
506,' @Inspire_Us: Efficiency is doing things right; effectiveness is doing the right things. - Peter Drucker'
507,"' @Inspire_Us: Choose a job you love, &amp; you will never have to work a day in your life. - Confucius'"
508,'Stop complaining and just appreciate the life you have.'
509,"'You don need to be smart, good looking, or wealthy to make someone\. happy.'"
510,'The greatest failure is to achieve success as a fraud.'
511,'Never give up on what you really want'
512,"""Don't make a promise that you're not willing to stand by"""
513,'Feelings of jealousy weakens the immune system.'
514,"""If you're not willing to put in the effort, don't expect it\. in return."""
515,"' @TheFactsBook: Marry someone who is ambitious, happy, healthy and has a sense of humor, this will add 5 to 10 years to your life expecta"
516,'Are oranges named orange because they orange or is\. orange called orange because oranges are orange?'
517,"' @NotCommonFactz: \\""Groaking\\"" is act of watching people eat food hoping they\'ll offer you some.'"
518,"' @Funny_Truth: Forget about Spiderman, Superman, and Batman. I be your man.'"
519,' @Funny_Truth: Your smile is the most beautiful curve on your body.'
520,""" @LargerThanWords: The most dangerous people aren't the ones who get in your face and make threats, but the ones that stand back stare an"
521,"'\\""By learning you will teach, by teaching you will learn.\\"" -Latin proverb'"
522,"""Everyone has a story left untold, never start judging someone like you know them back\. to front cos the truth is, you probably don't!!"""
523,'I can hide a bad mood from people who know me well.'
524,"' @Leeleeyen: Sometimes, we need to be hurt in order to grow. We must lose in order to gain. Sometimes, some lessons are learned best thro"
525,"' @PObahiagbon: A shame some of us would rather shoot the messenger than listen to the message.. He who is without sin, may he step up..."
526,"'Past is experience,Presnt is experimnt.Future is expectation!!! Use ur experience in\. ur experimnts 2 gt ur expectations.'"
527,"'Love me without restriction,trust me without fear,want me without demand,accept me\. for who I AM'"
528,"' @ItsMindBIowing: You will never find time for anything. If you want time, you must make it.'"
529,""" @TheWeirdWorld: There are at least 7 people in the world who look exactly like you. There's a 10% chance that you'll meet one of them in"
530,'The time is always right to do what is right.'
531,""" @RobbyGreer: Don't forget your worth. Once you do, you lose what you deserve."""
532,"' @TheWeirdWorld: Don be afraid of death, be afraid of an unlived life.'"
533,""" @autocorrects: I advise you, don't mess with me, I know karate, kung fu, judo, tae kwon do, jujitsu, and 28 other dangerous words."""
534,""" @ItsLifeFact: No matter how many times I say I don't care, I still do care."""
535,"""Sometimes it's better to stop trying to make sense of things. Life isn't\. clear cut, there are always gray areas..."""
536,'Cheating on a good girl is like throwing away a diamond and picking up a\. rock.'
537,'You Can Do It if You Believe You Can!'
538,' @Inspire_Us: Count your blessings and give thanks to the Lord God.'
539,"' @RichSimmondsZA: \\""By learning you will teach, by teaching you will learn.\\"" -Latin proverb @PfP4SA'"
540,'@leeleeyen m missing you'
541,"'God is my chauffeur, take me to my destiny'"
542,"""Darkness isn't the absence of light...\. it's the absence of you."""
543,"'Take all d glory,Take all the honour,i live to worship oh awesome God'"
544,"'To settle an argument, think of what is right, not who is right.'"
545,"""I act like I don't notice shit. But believe me, I\. otice everything. \xed\xa0\xbd\xed\xb8\x8f"""
546,"' @ComedyTruth: I respect those that tell me the truth, no matter how hard it is.'"
547,'@leeleeyen missing you too!'
548,"""No matter who you are, you've made mistakes. So, don't judge\. people by theirs."""
549,"""When you make a mistake, admit it. If you don't, you only make\. matters worse."""
550,"""There's only one corner of the universe you can be certain of\. improving, and that's your own self."""
551,"""I'm in constant competition with myself...a little sleep a lil\. slumber...in pursuit of better days ahead!!"""
552,"'Keep people in your life who lift you up, not tear you down'"
553,"'Accept me at my strongest, support me at my weakest.'"
554,""" @Inspire_Us: The most precious possession that ever comes to a man in this world is a woman's heart."""
555,"""like you because I can never stay mad at\. you, I can't stand not talking to you and I can't\. stand the thought of losing you."""
556,""" @Funny_Truth: I hear you're good at algebra.....Will you replace my eX without asking Y?"""
557,"'Happy Birthday to Me! I wish myself many more years of joy, love, laughter, health and prosperity. I wish (cont)"
558,"""don't go around fire expectin' not to sweat."""
559,' happynewmonth'
560,' @Inspire_Us: At one point in your life you either have the thing you want or the reasons why you don -Andy Roddick'
561,"'People change, things go wrong, shit happens, but life goes\. on.'"
562,""" @Thegooglefactz: Whenever you're feeling down, remember, you're the sperm that won"""
563,'Kill them with success and bury them with a smile.'
564,"""I'm not perfect. I'll annoy you, tick you off but put all\. that aside, You'll never find someone who cares and loves\. you more than me."""
565,"""Don't be mad when someone else starts to appreciate the\. person you took for granted. What you won't do, someone\. else will LIFE"""
566,' @Funny_Truth: Are you a light switch? Cause I want to turn you on!'
567,"' @Funny_Truth: I don need my magic carpet to take you over, sideways and under.'"
568,'When some1 is so sweet 2 u dont expect dat they will be\. like dat all d time...bcos even d sweetest chocolate also\. expire'
569,'The prettiest smiles hide the deepest secrets. The prettiest\. eyes have cried the most tears.And the kindest hearts\. have felt the most pain'
570,"""Do what you think is right, not what people think is right.\. In the end, it's you who goes through it, not them."""
571,"'Be real, be happy, be unique, be true, be honest, be humble, be true to yourself.'"
572,'Real feelings dont change'
573,' @NotCommonFactz: Consuming chocolate was once considered a temptation of the devil.'
574,""" theproblemwithakwaibomis that the state hasn't\. got a leader with the economic acumen to\. liberate the people from economic servitude."""
575,' @AllAroundNig: Photos from Julius Agwu birthday celebration yesterday Via @AllAroundNig'
576,'UGANDA To Deport British Man Charged In Gay S3x
577,'Meet The 55yrs old Black Lady Who Looks Like A 20yrs old Girl (PHOTOS)
578,"'Dear Fans, This Is How You Made Pharrell William Cry On Oprah [WATCH]"
579,"'Ladies, The Men Have Spoken: See Their Message To You!"
580,"'Ladies, You Don Have To Tell Your Man Everything Really"
581,'13-Year-Old Mongolian Girl Is An Huntress Who Catches Foxes With Her Golden Eagle (PHOTOS)
582,"' is a good day to tell you I love you Pistorius Sobs As He Reads Val Card From Reeva (PHOTOS, VIDEO)"
583,'[DailyPost] Lagos toll gate battle: Lawyer alleges assassination attempt on his life
584,""" @Funny_Truth: If I had a garden I'd put your two lips and my two lips together."""
585,' @AllAroundNig: Please Forgive Us Francis Cries Out Over S\xe9xual Abuse In Catholic Church Via @AllAroundNig'
586,"""Don't make someone a priority if you're just their option."""
587,'True love and loyal friends are two of the hardest things to find.'
588,""" @ItsLifeFact: It's amazing how stupid you can be when you're in love."""
589,"' @SteveStfler: I think the guy who invented ties was trying to commit suicide then he saw himself in the mirror &amp; thought... \. \\""Wait, this"
590,"' @SteveStfler: Dudes be like, \\""I only talk to one girl.\\"" \. \. AND THAT STATUS BE HAVING 15 BITCHES FEELING SPECIAL.'"
591,""" @ItsLifeFact: We've been through a lot together."""
592,"'I rather live my life knowing that I not perfect, than spending my whole life pretending to be.'"
593,""" @AllAroundNig: No man is above mistake, few have the courage to admit they're wrong"""
594,"' @AllAroundNig: When a lamb decides to play in the midst of lions, is there any future to expect from him?b'"
595,"' @AllAroundNig: Since all lizards lie on their bellies, we cannot tell which one has a stomach ache.'"
596,""" @AllAroundNig: Be Humble. Your Salary is Someone's Tithe."""
597,' @AllAroundNig: She Who prepares burnt dodo for her husband shall face the wrath of her mother-in-law.'
598,' @AllAroundNig: He who use nylon in place of condom must have money for abortion.'
599,' @AllAroundNig: The greatest threat to freedom is the absence of criticism..'
600,' @TheLoverQuotes: @ChaskaBorek Rule your mind or it will rule you.'
601,"'You only live once, but if you do it right once is\. enough.'"
602,"'\\""I don\'t want to lose you now, I\'m looking\. right at the other half of me\\"" - Justin\. Timberlake l2m'"
603,"'Never give up, great things take time'"
604,' @KillaQuotes: I got my hand on the game. I make a grip. - Lil Wayne'
605,"' @BestofVirgo: Because Virgo has high standards, going through all the shit in life is tiring.'"
606,'Nothing Is Impossible!'
607,'actions and reactions must not be basically determined by actions of others'
608,'every man take the limits of his own field of vision for the limits of the world'
609,"'Be proactive and well prepared in life because as it said, \\""rising early make the road short\\""'"
610,""" @KillaQuotes: Got an angel by my side all my demons always beggin' me to ride. - Nate Dogg"""
611,""" @BestofVirgo: Virgo' are a pain in the ass."""
612,'never be afraid to trust an unkown future to a known God'
613,' Faith is not the belief that God will do what you want. It is the belief that God will do what is right'
614,"'A smile makes us look younger while laughter makes us\. feel healthier.\\""'"
615,"""Even you've been disappointed or lied, as know\. that you have a lesson learned that make you up\. one level more than others"""
616,"' @damnitstrue: Friendship isn\'t about who you\'ve known the longest. It\'s about who walked into your life, said \\""I\'m here for you\\"" and pro"
617,'Man without wife is like fifty without five'
618,'Everyone you meet has something to teach you.'
619,"'Okay, ekaaro @leeleeyen'"
620,' September1752'
621,' prayer changes'
622,' @TheFacts1O1: The average man will spend a year of his life staring at women.'
623,"' @KillaQuotes: In time I learned a few lessons, never fall for riches - apologizes to my TRUE sisters; far from bitches. - Tupac'"
624,""" @Funny_Truth: You know you're in love when you can't fall asleep because reality is finally better than your dreams."""
625,' @RobbyGreer: Never give up. Always find a reason to keep trying.'
626,"'Hi @leeleeyen, how was your day?'"
627,"""You're beautiful, you're beautiful. Its true... singing"""
628,' @damnitstrue: You are my only love because with you my life is so complete.'
629,' @KillaQuotes: Let the losers worry about losin. - T.I.'
630,"""I have P.M.A \. (Positive Mental Attitude)\. I'm Positive\. I'm Mental\. and I know I have Attitude"""
631,' @Funny_Truth: Are you from Korea? Because you could be my Seoul mate.'
632,"' @TheLoverQuotes: @ChaskaBorek Age is a question of mind over matter. If you don mind, it doesn matter. lovequotes quotes'"
633,"'@leeleeyen, ekaaro ololufe mi, seji re?'"
634,"' @BestofVirgo: Virgo: Modest, Shy &amp; Romantic.'"
635,' @TheFactsBook: The only domestic animal not mentioned in the Bible is the cat.'
636,"""you set my heart on fire, fill it with love, made me a man, I'm glad you're back!"""
637,""" @CuzImHigh: smoke a blunt to take the pain out, and if I wasn't high I'd probably blow my brains out. - Tupac"""
638,"""Care doesn't need powerful eyes or a cute voice or a\. lovely face.. It always needs a beautiful, responsible heart\. with affection forever."""
639,' @damnitstrue: the best time to kiss a girl:
640,'wishing you all a wonderful week ahead
641,"'behind my smiles is where i keep my pains, you think you\. know me???? you know nothing abt my terrible\. character.'"
642,"' Smile is a way to get success,\. Smile is to win the hearts.\. Smile improves ur personality.\. So, keep smiling.'"
643,' @TheseDamnQuote: Your laugh is the cutest thing.'
644,"' @UnrevealedFacts: Once you begin to dislike someone, everything they do tends to annoy you.'"
645,"'@leeleeyen okay, sorry abt that sweetie'"
646,"' @TheLoverQuotes: @ChaskaBorek The faithful see the invisible, believe the incredible and receive the impossible.. lovequotes quotes'"
647,"'@sherwoodbhow, is it real?'"
648,'Lol... You know what? @leeleeyen Sleeping early is very healthy!! Your body will have more time to rest ;-)'
649,"'@leeleeyen yeah, i slept very early last night... ;-)'"
650,"' @GoogleFacts: A 2.5 GB disk drive in 1980 was the size of a fridge. Price: US$40,000.'"
651,'@leeleeyen outta bed already?'
652,'@leeleeyen thanx...'
653,"'@leeleeyen , yeah, thats good night... Sorry i didnt say that last night'"
654,' @TheFactsBook: In ancient China marijuana was used to treat absent-mindedness.'
655,"'@leeleeyen ekaaro ololufe mi, seji re?'"
656,' @RobbyGreer: It is not wanting to win that makes you a winner; it is refusing to fail.'
657,"' @KillaQuotes: All I need in this life of sin is me and my girlfriend - Down to ride to the bloody end, just me and my girlfriend. - Tupac'"
658,"' @SayingsForGirls: We fear rejection, want attention, crave affection and dream of perfection.'"
659,"""Friends make the world go 'Round. Happy friendshipday!"
660,'Happy Friendshipday!!!
661,""" @LargerThanWords: Those who look like they are worth trusting sometimes aren't."""
662,' @Inspire_Us: Conquer your bad habits or they will conquer you. - Rob Gilbert'
663,"' @TheLifeDiaries: Love is a combination of care, commitment, communication, loyalty, responsibility, respect and trust.'"
664,"' @StMotherTheresa: can do things you cannot, you can do things I cannot; together we can do great things. Motherteresa gooddeeds'"
665,' @Factsionary: Peanut butter is an excellent cleaner for leather furniture. Just rub a small amount on and work it in in a circular motio
666,"' @LargerThanWords: Be who you want to be, go where you want to go, and love who you want to love. LargerThanWords'"
667,"""Music always helps, no matter what you're going through. listening to reminisce @Iamreminisce"""
668,'@leeleeyen Aries?? the Aries-Virgo bond has always and will always be a strong one... luv ya bby'
669,'@leeleeyen all thanx to you
670,'@leeleeyen (
671,"' @iLyricsPost: \\""Everything you do is magic.\\"" - One Direction'"
672,'One of the greatest feelings is knowing you made someone smile @leeleeyen'
673,'@leeleeyen the best effect I guess'
674,'@leeleeyen
675,"'@leeleeyen yeah, u?'"
676,"' @VirgoNation: People constantly fall in and out of love, but Virgos will only truly love a few people in their lifetime.'"
677,'I am not a genius; I am what a genius wants to be.'
678,""" @FlirtyWords: I'll ignore every one of them because I only want you."""
679,'@Leeleeyen oda ro'
680,' @BrainyQuote: He who has no wish to be happier is the happiest of men. - William R. Alger
681,"""@Leeleeyen, I'm in babe"""
682,"'Trust is like an eraser, It gets smaller &amp; smaller after every mistake... can i have your trust? @leeleeyen'"
683,'@leeleeyen im fooled!
684,"'@leeleeyen if I may know, who? ;-)'"
685,'Let be nothing because nothing lasts forever.'
686,"""@leeleeyen that's what im doing right now babe"""
687,"""Don't give up on things that make you smile."""
688,'Alone we can do so little; together we can do so much. -Helen Keller'
689,"'\\""To the world you may be an icon, a revolutionary, a billionaire; but to the Angel of Death you\'re just another name on\. the list\\"" Good mrn'"
690,"""straight like 6 o'clock, hear ya haterz screaming but I dnt give a f**k... lmao"""
691,"""Ds life z a precious gift, so dnt get 2 crazy,it's nt worth d risk, u gotta take things easy Y.O.L.O"""
692,""" @BestofVirgo: Virgo's are investigators. They never fully trust anyone and are always looking for the bad."""
693,"'pain is temporary , quitting last 4eva'"
694,"""Went to bed thinking of you, even now you're on my mind princess"""
695,"'Tired of listening to old songs, wanna listen to newmusics'"
696,"""It's mid-year, Happy new month! Goodness and mercy shall follow us all the days of our life (amen)"""
697,'Never take your heart on a journey without your brain. Place value on yourself.'
698,"' @KillaQuotes: The places that Ive been, the things that I have seen - what you have as nightmares, are what I have as dreams. - DMX'"
699,"' youshouldbeslapped if u call men in black uniform, checking cars particulars by the road side on your way to a neighboring town soldiers.'"
700,"""***yawns*** really tired, can't believe I stayed up late for UCLfinal (Itz worth it though)... Oh! Tomorrow is Sunday!! Going to bed now!!!"""
701,' @ChampionsLeague: UCLfinal result: @FCBayern 2-1 @BVB'
702,' @ChampionsLeague: Congratulations @FCBayern! The 2012/13 UCLfinal winners.'
703,""" @ChampionsLeague: Jupp Heynckes celebrates @FCBayern's UCLfinal triumph..."
704,' Bayern Munich win champions league!!!'
705,' Arjen_Robben scores the crucial goal'
706,"""You're the lyrics to the melody of myheart"""
707,' @TheFactsBook: Masklophobia is the fear of seeing huge animal mascots.'
708,'@hicez_cgp cool (*.*)'
709,' nowplaying Say Goodbye Hollywood - Eminem'
710,"""The 3 C's in life; Choice, Chance, Change. You must make the Choice, to take the Chance, if you want anything in life to Change."""
711,""" @Lmao: Shout Out to all the beautiful women who don't need to dress half naked to get a man's attention. Stay classy! The rest of you, c"
712,"""Love doesn't make the world go round; love is what makes the ride worthwhile - Elizabeth Browning"""
713,' @Factsionary: Honey is the only food that will not rot. A jar of honey may remain edible for over 3000 years.'
714,' nevergiveup on your dreams'
715,"' @Pontifex: The Holy Spirit transforms and renews us, creates harmony and unity, and gives us courage and joy for mission.'"
716,' truefriendswillalways have your back'
717,' nowplaying As long as you love me - backstreetboys'
718,'Italian: Dio vi benedica tutti.\. English: God bless you all.'
719,'Good people do bad things. Learn to forgive and move on.'
720,"'If GOD is all you have, then you have all you need'"
721,'Never say impossible...'
722,"""Our memories aren't that reliable. What we remember is usually altered by our emotions and other thoughts at that time."""
723,"' @Factsionary: 70% of people suffer from allodoxaphobia, the fear of annoying others.'"
724,""" @CuteLoveMsgs: One day you'll be just a memory to people, so make sure you're a good one."""
725,'Shits happen but life goes on'
726,"""You've got my focus divided like a fraction - skales"""
727,"' @SONGLYRlCS: \\""I wanna live, not just survive.\\"" - The Cab'"
728,"' NeverGiveUp, great things take time'"
729,'I really love you come what may...'
730,"'When the going gets tough, only the tough get going...'"
731,"' @GoogleFacts: When dreaming, your body is paralyzed.'"
732,""" @ADMlRABLE: To be honest, I don't have much to offer. But I'll still give you everything I've got."""
733,""" @AdorabIeBoo: i'm not lazy i just dont wanna do anything."""
734,"' avemaria, gratia plena, dominus tecum, benedicta tu...'"
735,' @PObahiagbon: A bit like Khan wanting to fight Flyod... Disaster'
736,' @Philosophy_Muse: Sometimes the easiest thing is also the hardest: to disconnect.'
737,' @I_GO_DYE: Saw a Lady 2day who bleached so much..... She looked brighter than her Future..'
738,' Lemon enhances iron absorption in the body; iron plays an important role in immune_function.'
739,"""Itz gon be more fun if there's a day btw saturday and sunday..."""
740,""" BadDecisions aren't always bad because sometimes they become great stories..."""
741,' @shockingfacts_: Hugging helps lower blood pressure.'
742,"'Even on a cloudy day, the sun is shinning somewhere. hope'"
743,' Itzinyou'
744,"""@neeggaboy Itz been ages, where've you been?"""
745,"""@neeggaboy, what's up?"""
746,"'Your best is not your limit and your limit is not your best, just put your best in your limit...'"
747,'may ur dreams come true this month. may all ur wishes be fulfilled happynewmonth'
748,""" @BestofVirgo: Virgo only enjoys sex when it is with someone who has gained Virgo's confidence."""
749,"'Club tonight, JAMB tomorrow... Lmao!!!'"
750,' wakingup to see eveything is okay... I thankGod'
751,'shit! Itz raining already!! Going to bed noW!!! ;-)'
752,'Falling in love produces the same type of high as doing cocaine'
753,"""I just can't get enough..."""
754,'The price of excellence is discipline; the cost of mediocrity is disappointment'
755,'Gdhhsg'
756,""" @Neeggaboy: Can you sleep all day \. And still get paid ??? \. Nigga's neeggaboy is herer let the game begins famous mode """
757,"'On earth you hustle, pray that you find a place to rest in heaven, though its dawning of a new day, ama light @GoldieHarvey a candle.. R.I.P'"
758,"' @deerlungs: \\""If you want to leave, you can. I\'ll remember you, though. I remember everyone who leaves.\\"" \. Lilo &amp; Stitch'"
759,'2'
760,'Neva fear standing up for things you belive in. inspire_us'
761,'Strong walls shake'
762,"'@nigerianewsdesk lol... Funny. Hw will tm b able to say amen, cos tz like saying amen to their source of ***"
763,"'My leather is so soft, my top is so soft...'"
764,'Kiss me and you will see how important i am'
765,'K@girlnotes'
766,' @girlnotes: My life. My choices. My problems. My mistakes. My lessons. Not your business. Mind your own problems before you talk abou ...'
767,'@girlnotes really difficult!'
768,"'Have you hugged an idiot today? Me neither, come here!'"
769,""" NeverTellAGirl you've been in love before."""
770,' NeverTellAGirl you play WoW'
771,"'...if you wanna make the world a better place, take a look at yourself and make the change myfavmichaeljacksonsongs (MAN IN THE MIRROR)'"
772,"""I don't drink milk. Milk is for babies, when you grow up, you gotta drink beer!!"""
773,'I am tweeting from my Phone via mozat. Get it for free from Pin is M1131GF.'
774,'chatting with a f**king dumb-ass'
775,""" HowCome people say i'm crazy when they're obuviously nuts."""
776,"""@ispeakfemale, i'm 15!"""
777,"""@ispeakfemale, i'm 15"""
778,'@Life_Quotesx ur quotes are awesome!'
779,'Pls friends tell me the difference between complete and finish'
780,'@ImDrQuotes Yeah'
781,'@MrRetweets'
782,"""It's hard to forget someone who gave you so many things to remember."""
783,"' @PsychographEd: When stupid people ask silly questions, don take the trouble to answer, just say question and leave.'"
784,'PHOTO: Barack Obama Saves Wife Michelle From Embarrassing Situation
785,'Hilarious: Basketmouth Assaults Hospital Patient
